date,type,tweet_count
2007-07-04,original,1
2007-07-05,original,0
2007-07-06,original,0
2007-07-07,original,0
2007-07-08,original,0
2007-07-09,original,0
2007-07-10,original,0
2007-07-11,original,0
2007-07-12,original,0
2007-07-13,original,0
2007-07-14,original,0
2007-07-15,original,0
2007-07-16,original,0
2007-07-17,original,0
2007-07-18,original,0
2007-07-19,original,0
2007-07-20,original,0
2007-07-21,original,0
2007-07-22,original,1
2007-07-23,original,0
2007-07-24,original,0
2007-07-25,original,0
2007-07-26,original,0
2007-07-27,original,0
2007-07-28,original,0
2007-07-29,original,0
2007-07-30,original,0
2007-07-31,original,0
2007-08-01,original,0
2007-08-02,original,0
2007-08-03,original,0
2007-08-04,original,0
2007-08-05,original,0
2007-08-06,original,0
2007-08-07,original,0
2007-08-08,original,0
2007-08-09,original,0
2007-08-10,original,0
2007-08-11,original,0
2007-08-12,original,0
2007-08-13,original,0
2007-08-14,original,0
2007-08-15,original,0
2007-08-16,original,0
2007-08-17,original,0
2007-08-18,original,0
2007-08-19,original,0
2007-08-20,original,0
2007-08-21,original,0
2007-08-22,original,0
2007-08-23,original,0
2007-08-24,original,1
2007-08-25,original,0
2007-08-26,original,0
2007-08-27,original,0
2007-08-28,original,0
2007-08-29,original,0
2007-08-30,original,0
2007-08-31,original,0
2007-09-01,original,0
2007-09-02,original,0
2007-09-03,original,0
2007-09-04,original,0
2007-09-05,original,0
2007-09-06,original,0
2007-09-07,original,0
2007-09-08,original,0
2007-09-09,original,0
2007-09-10,original,0
2007-09-11,original,0
2007-09-12,original,0
2007-09-13,original,0
2007-09-14,original,0
2007-09-15,original,0
2007-09-16,original,0
2007-09-17,original,0
2007-09-18,original,0
2007-09-19,original,0
2007-09-20,original,1
2007-09-21,original,0
2007-09-22,original,0
2007-09-23,original,0
2007-09-24,original,0
2007-09-25,original,0
2007-09-26,original,0
2007-09-27,original,0
2007-09-28,original,0
2007-09-29,original,0
2007-09-30,original,0
2007-10-01,original,0
2007-10-02,original,0
2007-10-03,original,0
2007-10-04,original,0
2007-10-05,original,0
2007-10-06,original,0
2007-10-07,original,0
2007-10-08,original,0
2007-10-09,original,0
2007-10-10,original,0
2007-10-11,original,0
2007-10-12,original,0
2007-10-13,original,0
2007-10-14,original,0
2007-10-15,original,0
2007-10-16,original,0
2007-10-17,original,0
2007-10-18,original,0
2007-10-19,original,0
2007-10-20,original,0
2007-10-21,original,0
2007-10-22,original,0
2007-10-23,original,0
2007-10-24,original,0
2007-10-25,original,0
2007-10-26,original,0
2007-10-27,original,0
2007-10-28,original,0
2007-10-29,original,0
2007-10-30,original,0
2007-10-31,original,0
2007-11-01,original,0
2007-11-02,original,0
2007-11-03,original,0
2007-11-04,original,2
2007-11-05,original,0
2007-11-06,original,0
2007-11-07,original,0
2007-11-08,original,0
2007-11-09,original,0
2007-11-10,original,0
2007-11-11,original,0
2007-11-12,original,0
2007-11-13,original,0
2007-11-14,original,0
2007-11-15,original,0
2007-11-16,original,0
2007-11-17,original,0
2007-11-18,original,0
2007-11-19,original,0
2007-11-20,original,0
2007-11-21,original,0
2007-11-22,original,0
2007-11-23,original,0
2007-11-24,original,0
2007-11-25,original,0
2007-11-26,original,0
2007-11-27,original,0
2007-11-28,original,0
2007-11-29,original,0
2007-11-30,original,0
2007-12-01,original,0
2007-12-02,original,0
2007-12-03,original,0
2007-12-04,original,0
2007-12-05,original,0
2007-12-06,original,0
2007-12-07,original,0
2007-12-08,original,0
2007-12-09,original,0
2007-12-10,original,0
2007-12-11,original,0
2007-12-12,original,0
2007-12-13,original,0
2007-12-14,original,0
2007-12-15,original,0
2007-12-16,original,0
2007-12-17,original,1
2007-12-18,original,0
2007-12-19,original,0
2007-12-20,original,0
2007-12-21,original,0
2007-12-22,original,0
2007-12-23,original,0
2007-12-24,original,0
2007-12-25,original,0
2007-12-26,original,0
2007-12-27,original,0
2007-12-28,original,0
2007-12-29,original,1
2007-12-30,original,0
2007-12-31,original,0
2008-01-01,original,0
2008-01-02,original,0
2008-01-03,original,0
2008-01-04,original,0
2008-01-05,original,0
2008-01-06,original,0
2008-01-07,original,0
2008-01-08,original,0
2008-01-09,original,1
2008-01-10,original,0
2008-01-11,original,0
2008-01-12,original,0
2008-01-13,original,0
2008-01-14,original,0
2008-01-15,original,0
2008-01-16,original,0
2008-01-17,original,1
2008-01-18,original,0
2008-01-19,original,1
2008-01-20,original,0
2008-01-21,original,0
2008-01-22,original,0
2008-01-23,original,0
2008-01-24,original,0
2008-01-25,original,0
2008-01-26,original,0
2008-01-27,original,0
2008-01-28,original,0
2008-01-29,original,0
2008-01-30,original,0
2008-01-31,original,0
2008-02-01,original,0
2008-02-02,original,1
2008-02-03,original,0
2008-02-04,original,1
2008-02-05,original,0
2008-02-06,original,0
2008-02-07,original,0
2008-02-08,original,0
2008-02-09,original,0
2008-02-10,original,0
2008-02-11,original,0
2008-02-12,original,0
2008-02-13,original,0
2008-02-14,original,0
2008-02-15,original,1
2008-02-16,original,0
2008-02-17,original,0
2008-02-18,original,0
2008-02-19,original,0
2008-02-20,original,0
2008-02-21,original,0
2008-02-22,original,0
2008-02-23,original,0
2008-02-24,original,0
2008-02-25,original,0
2008-02-26,original,1
2008-02-27,original,0
2008-02-28,original,0
2008-02-29,original,0
2008-03-01,original,0
2008-03-02,original,0
2008-03-03,original,0
2008-03-04,original,1
2008-03-05,original,3
2008-03-06,original,0
2008-03-07,original,0
2008-03-08,original,0
2008-03-09,original,0
2008-03-10,original,0
2008-03-11,original,0
2008-03-12,original,0
2008-03-13,original,0
2008-03-14,original,0
2008-03-15,original,0
2008-03-16,original,0
2008-03-17,original,0
2008-03-18,original,1
2008-03-19,original,0
2008-03-20,original,0
2008-03-21,original,0
2008-03-22,original,0
2008-03-23,original,0
2008-03-24,original,0
2008-03-25,original,1
2008-03-26,original,0
2008-03-27,original,1
2008-03-28,original,1
2008-03-29,original,0
2008-03-30,original,1
2008-03-31,original,0
2008-04-01,original,0
2008-04-02,original,0
2008-04-03,original,0
2008-04-04,original,0
2008-04-05,original,0
2008-04-06,original,0
2008-04-07,original,0
2008-04-08,original,1
2008-04-09,original,0
2008-04-10,original,1
2008-04-11,original,0
2008-04-12,original,0
2008-04-13,original,0
2008-04-14,original,0
2008-04-15,original,0
2008-04-16,original,0
2008-04-17,original,0
2008-04-18,original,0
2008-04-19,original,0
2008-04-20,original,0
2008-04-21,original,0
2008-04-22,original,0
2008-04-23,original,0
2008-04-24,original,0
2008-04-25,original,0
2008-04-26,original,0
2008-04-27,original,0
2008-04-28,original,0
2008-04-29,original,0
2008-04-30,original,1
2008-05-01,original,1
2008-05-02,original,1
2008-05-03,original,0
2008-05-04,original,0
2008-05-05,original,0
2008-05-06,original,0
2008-05-07,original,0
2008-05-08,original,0
2008-05-09,original,0
2008-05-10,original,0
2008-05-11,original,1
2008-05-12,original,0
2008-05-13,original,0
2008-05-14,original,0
2008-05-15,original,0
2008-05-16,original,0
2008-05-17,original,0
2008-05-18,original,0
2008-05-19,original,0
2008-05-20,original,0
2008-05-21,original,0
2008-05-22,original,0
2008-05-23,original,0
2008-05-24,original,0
2008-05-25,original,0
2008-05-26,original,0
2008-05-27,original,0
2008-05-28,original,0
2008-05-29,original,0
2008-05-30,original,0
2008-05-31,original,0
2008-06-01,original,0
2008-06-02,original,0
2008-06-03,original,1
2008-06-04,original,1
2008-06-05,original,1
2008-06-06,original,0
2008-06-07,original,0
2008-06-08,original,0
2008-06-09,original,0
2008-06-10,original,0
2008-06-11,original,0
2008-06-12,original,0
2008-06-13,original,0
2008-06-14,original,0
2008-06-15,original,0
2008-06-16,original,0
2008-06-17,original,0
2008-06-18,original,0
2008-06-19,original,0
2008-06-20,original,0
2008-06-21,original,0
2008-06-22,original,0
2008-06-23,original,0
2008-06-24,original,0
2008-06-25,original,1
2008-06-26,original,0
2008-06-27,original,0
2008-06-28,original,1
2008-06-29,original,0
2008-06-30,original,0
2008-07-01,original,1
2008-07-02,original,0
2008-07-03,original,0
2008-07-04,original,0
2008-07-05,original,0
2008-07-06,original,0
2008-07-07,original,0
2008-07-08,original,0
2008-07-09,original,0
2008-07-10,original,0
2008-07-11,original,0
2008-07-12,original,0
2008-07-13,original,0
2008-07-14,original,0
2008-07-15,original,0
2008-07-16,original,1
2008-07-17,original,0
2008-07-18,original,0
2008-07-19,original,1
2008-07-20,original,1
2008-07-21,original,1
2008-07-22,original,1
2008-07-23,original,1
2008-07-24,original,1
2008-07-25,original,0
2008-07-26,original,0
2008-07-27,original,0
2008-07-28,original,1
2008-07-29,original,1
2008-07-30,original,2
2008-07-31,original,1
2008-08-01,original,1
2008-08-02,original,0
2008-08-03,original,0
2008-08-04,original,0
2008-08-05,original,0
2008-08-06,original,0
2008-08-07,original,3
2008-08-08,original,0
2008-08-09,original,1
2008-08-10,original,0
2008-08-11,original,0
2008-08-12,original,0
2008-08-13,original,0
2008-08-14,original,0
2008-08-15,original,0
2008-08-16,original,0
2008-08-17,original,0
2008-08-18,original,1
2008-08-19,original,1
2008-08-20,original,0
2008-08-21,original,0
2008-08-22,original,1
2008-08-23,original,0
2008-08-24,original,1
2008-08-25,original,2
2008-08-26,original,1
2008-08-27,original,0
2008-08-28,original,0
2008-08-29,original,0
2008-08-30,original,0
2008-08-31,original,0
2008-09-01,original,0
2008-09-02,original,0
2008-09-03,original,0
2008-09-04,original,0
2008-09-05,original,2
2008-09-06,original,0
2008-09-07,original,0
2008-09-08,original,2
2008-09-09,original,1
2008-09-10,original,0
2008-09-11,original,0
2008-09-12,original,0
2008-09-13,original,0
2008-09-14,original,1
2008-09-15,original,1
2008-09-16,original,0
2008-09-17,original,0
2008-09-18,original,0
2008-09-19,original,0
2008-09-20,original,0
2008-09-21,original,0
2008-09-22,original,0
2008-09-23,original,1
2008-09-24,original,0
2008-09-25,original,0
2008-09-26,original,0
2008-09-27,original,1
2008-09-28,original,1
2008-09-29,original,0
2008-09-30,original,0
2008-10-01,original,0
2008-10-02,original,2
2008-10-03,original,0
2008-10-04,original,2
2008-10-05,original,1
2008-10-06,original,0
2008-10-07,original,1
2008-10-08,original,2
2008-10-09,original,2
2008-10-10,original,0
2008-10-11,original,0
2008-10-12,original,0
2008-10-13,original,0
2008-10-14,original,0
2008-10-15,original,0
2008-10-16,original,1
2008-10-17,original,0
2008-10-18,original,1
2008-10-19,original,0
2008-10-20,original,0
2008-10-21,original,2
2008-10-22,original,0
2008-10-23,original,0
2008-10-24,original,0
2008-10-25,original,0
2008-10-26,original,0
2008-10-27,original,1
2008-10-28,original,0
2008-10-29,original,1
2008-10-30,original,0
2008-10-31,original,0
2008-11-01,original,1
2008-11-02,original,0
2008-11-03,original,0
2008-11-04,original,0
2008-11-05,original,2
2008-11-06,original,0
2008-11-07,original,0
2008-11-08,original,0
2008-11-09,original,0
2008-11-10,original,0
2008-11-11,original,2
2008-11-12,original,0
2008-11-13,original,0
2008-11-14,original,3
2008-11-15,original,1
2008-11-16,original,0
2008-11-17,original,0
2008-11-18,original,1
2008-11-19,original,1
2008-11-20,original,2
2008-11-21,original,2
2008-11-22,original,0
2008-11-23,original,1
2008-11-24,original,0
2008-11-25,original,0
2008-11-26,original,1
2008-11-27,original,2
2008-11-28,original,0
2008-11-29,original,1
2008-11-30,original,0
2008-12-01,original,0
2008-12-02,original,1
2008-12-03,original,0
2008-12-04,original,0
2008-12-05,original,1
2008-12-06,original,1
2008-12-07,original,0
2008-12-08,original,0
2008-12-09,original,1
2008-12-10,original,0
2008-12-11,original,0
2008-12-12,original,0
2008-12-13,original,0
2008-12-14,original,0
2008-12-15,original,0
2008-12-16,original,1
2008-12-17,original,0
2008-12-18,original,2
2008-12-19,original,0
2008-12-20,original,1
2008-12-21,original,0
2008-12-22,original,0
2008-12-23,original,0
2008-12-24,original,0
2008-12-25,original,0
2008-12-26,original,1
2008-12-27,original,1
2008-12-28,original,1
2008-12-29,original,0
2008-12-30,original,0
2008-12-31,original,0
2009-01-01,original,1
2009-01-02,original,0
2009-01-03,original,3
2009-01-04,original,1
2009-01-05,original,3
2009-01-06,original,2
2009-01-07,original,0
2009-01-08,original,1
2009-01-09,original,1
2009-01-10,original,0
2009-01-11,original,0
2009-01-12,original,0
2009-01-13,original,1
2009-01-14,original,0
2009-01-15,original,1
2009-01-16,original,1
2009-01-17,original,0
2009-01-18,original,2
2009-01-19,original,0
2009-01-20,original,3
2009-01-21,original,1
2009-01-22,original,1
2009-01-23,original,0
2009-01-24,original,1
2009-01-25,original,0
2009-01-26,original,5
2009-01-27,original,2
2009-01-28,original,3
2009-01-29,original,1
2009-01-30,original,1
2009-01-31,original,0
2009-02-01,original,0
2009-02-02,original,2
2009-02-03,original,2
2009-02-04,original,8
2009-02-05,original,4
2009-02-06,original,2
2009-02-07,original,1
2009-02-08,original,1
2009-02-09,original,1
2009-02-10,original,2
2009-02-11,original,3
2009-02-12,original,1
2009-02-13,original,2
2009-02-14,original,3
2009-02-15,original,1
2009-02-16,original,3
2009-02-17,original,0
2009-02-18,original,4
2009-02-19,original,0
2009-02-20,original,2
2009-02-21,original,3
2009-02-22,original,1
2009-02-23,original,0
2009-02-24,original,5
2009-02-25,original,4
2009-02-26,original,0
2009-02-27,original,3
2009-02-28,original,2
2009-03-01,original,5
2009-03-02,original,5
2009-03-03,original,3
2009-03-04,original,3
2009-03-05,original,8
2009-03-06,original,3
2009-03-07,original,2
2009-03-08,original,1
2009-03-09,original,6
2009-03-10,original,3
2009-03-11,original,0
2009-03-12,original,4
2009-03-13,original,1
2009-03-14,original,4
2009-03-15,original,0
2009-03-16,original,6
2009-03-17,original,6
2009-03-18,original,5
2009-03-19,original,2
2009-03-20,original,7
2009-03-21,original,4
2009-03-22,original,5
2009-03-23,original,2
2009-03-24,original,4
2009-03-25,original,3
2009-03-26,original,4
2009-03-27,original,4
2009-03-28,original,3
2009-03-29,original,2
2009-03-30,original,1
2009-03-31,original,8
2009-04-01,original,9
2009-04-02,original,7
2009-04-03,original,3
2009-04-04,original,6
2009-04-05,original,11
2009-04-06,original,9
2009-04-07,original,4
2009-04-08,original,1
2009-04-09,original,4
2009-04-10,original,3
2009-04-11,original,0
2009-04-12,original,14
2009-04-13,original,12
2009-04-14,original,15
2009-04-15,original,11
2009-04-16,original,7
2009-04-17,original,3
2009-04-18,original,6
2009-04-19,original,12
2009-04-20,original,3
2009-04-21,original,5
2009-04-22,original,9
2009-04-23,original,2
2009-04-24,original,1
2009-04-25,original,6
2009-04-26,original,2
2009-04-27,original,12
2009-04-28,original,8
2009-04-29,original,7
2009-04-30,original,3
2009-05-01,original,5
2009-05-02,original,3
2009-05-03,original,2
2009-05-04,original,8
2009-05-05,original,22
2009-05-06,original,5
2009-05-07,original,2
2009-05-08,original,6
2009-05-09,original,6
2009-05-10,original,9
2009-05-11,original,11
2009-05-12,original,4
2009-05-13,original,14
2009-05-14,original,7
2009-05-15,original,4
2009-05-16,original,8
2009-05-17,original,9
2009-05-18,original,7
2009-05-19,original,16
2009-05-20,original,11
2009-05-21,original,7
2009-05-22,original,5
2009-05-23,original,8
2009-05-24,original,4
2009-05-25,original,3
2009-05-26,original,10
2009-05-27,original,6
2009-05-28,original,7
2009-05-29,original,6
2009-05-30,original,4
2009-05-31,original,3
2009-06-01,original,10
2009-06-02,original,10
2009-06-03,original,7
2009-06-04,original,6
2009-06-05,original,16
2009-06-06,original,7
2009-06-07,original,24
2009-06-08,original,7
2009-06-09,original,12
2009-06-10,original,9
2009-06-11,original,16
2009-06-12,original,16
2009-06-13,original,8
2009-06-14,original,12
2009-06-15,original,6
2009-06-16,original,11
2009-06-17,original,6
2009-06-18,original,9
2009-06-19,original,8
2009-06-20,original,7
2009-06-21,original,20
2009-06-22,original,8
2009-06-23,original,4
2009-06-24,original,3
2009-06-25,original,10
2009-06-26,original,9
2009-06-27,original,7
2009-06-28,original,4
2009-06-29,original,10
2009-06-30,original,12
2009-07-01,original,10
2009-07-02,original,12
2009-07-03,original,7
2009-07-04,original,7
2009-07-05,original,16
2009-07-06,original,7
2009-07-07,original,10
2009-07-08,original,7
2009-07-09,original,8
2009-07-10,original,13
2009-07-11,original,4
2009-07-12,original,14
2009-07-13,original,16
2009-07-14,original,13
2009-07-15,original,15
2009-07-16,original,12
2009-07-17,original,9
2009-07-18,original,19
2009-07-19,original,2
2009-07-20,original,10
2009-07-21,original,20
2009-07-22,original,17
2009-07-23,original,14
2009-07-24,original,18
2009-07-25,original,10
2009-07-26,original,7
2009-07-27,original,16
2009-07-28,original,10
2009-07-29,original,15
2009-07-30,original,10
2009-07-31,original,24
2009-08-01,original,22
2009-08-02,original,83
2009-08-03,original,23
2009-08-04,original,12
2009-08-05,original,31
2009-08-06,original,15
2009-08-07,original,9
2009-08-08,original,5
2009-08-09,original,13
2009-08-10,original,21
2009-08-11,original,10
2009-08-12,original,16
2009-08-13,original,10
2009-08-14,original,16
2009-08-15,original,9
2009-08-16,original,8
2009-08-17,original,13
2009-08-18,original,28
2009-08-19,original,32
2009-08-20,original,11
2009-08-21,original,11
2009-08-22,original,8
2009-08-23,original,7
2009-08-24,original,7
2009-08-25,original,7
2009-08-26,original,13
2009-08-27,original,8
2009-08-28,original,14
2009-08-29,original,8
2009-08-30,original,12
2009-08-31,original,11
2009-09-01,original,12
2009-09-02,original,13
2009-09-03,original,5
2009-09-04,original,12
2009-09-05,original,15
2009-09-06,original,6
2009-09-07,original,13
2009-09-08,original,19
2009-09-09,original,17
2009-09-10,original,18
2009-09-11,original,16
2009-09-12,original,7
2009-09-13,original,22
2009-09-14,original,38
2009-09-15,original,11
2009-09-16,original,36
2009-09-17,original,19
2009-09-18,original,12
2009-09-19,original,29
2009-09-20,original,10
2009-09-21,original,16
2009-09-22,original,16
2009-09-23,original,32
2009-09-24,original,28
2009-09-25,original,12
2009-09-26,original,9
2009-09-27,original,23
2009-09-28,original,20
2009-09-29,original,31
2009-09-30,original,20
2009-10-01,original,19
2009-10-02,original,18
2009-10-03,original,6
2009-10-04,original,15
2009-10-05,original,17
2009-10-06,original,21
2009-10-07,original,15
2009-10-08,original,25
2009-10-09,original,23
2009-10-10,original,15
2009-10-11,original,26
2009-10-12,original,19
2009-10-13,original,12
2009-10-14,original,17
2009-10-15,original,17
2009-10-16,original,25
2009-10-17,original,18
2009-10-18,original,11
2009-10-19,original,19
2009-10-20,original,44
2009-10-21,original,19
2009-10-22,original,15
2009-10-23,original,25
2009-10-24,original,8
2009-10-25,original,24
2009-10-26,original,26
2009-10-27,original,15
2009-10-28,original,20
2009-10-29,original,18
2009-10-30,original,14
2009-10-31,original,13
2009-11-01,original,8
2009-11-02,original,11
2009-11-03,original,33
2009-11-04,original,21
2009-11-05,original,25
2009-11-06,original,19
2009-11-07,original,10
2009-11-08,original,15
2009-11-09,original,13
2009-11-10,original,18
2009-11-11,original,22
2009-11-12,original,34
2009-11-13,original,12
2009-11-14,original,15
2009-11-15,original,18
2009-11-16,original,21
2009-11-17,original,17
2009-11-18,original,22
2009-11-19,original,23
2009-11-20,original,14
2009-11-21,original,17
2009-11-22,original,18
2009-11-23,original,22
2009-11-24,original,19
2009-11-25,original,8
2009-11-26,original,10
2009-11-27,original,19
2009-11-28,original,25
2009-11-29,original,13
2009-11-30,original,14
2009-12-01,original,22
2009-12-02,original,20
2009-12-03,original,32
2009-12-04,original,14
2009-12-05,original,22
2009-12-06,original,22
2009-12-07,original,14
2009-12-08,original,24
2009-12-09,original,42
2009-12-10,original,35
2009-12-11,original,28
2009-12-12,original,16
2009-12-13,original,12
2009-12-14,original,16
2009-12-15,original,14
2009-12-16,original,28
2009-12-17,original,22
2009-12-18,original,11
2009-12-19,original,11
2009-12-20,original,21
2009-12-21,original,15
2009-12-22,original,14
2009-12-23,original,27
2009-12-24,original,11
2009-12-25,original,12
2009-12-26,original,11
2009-12-27,original,17
2009-12-28,original,13
2009-12-29,original,15
2009-12-30,original,9
2009-12-31,original,25
